question,date,name,vote,confidence
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Daron Acemoglu,Uncertain,8
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Alberto Alesina,Uncertain,3
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Joseph Altonji,Strongly Agree,8
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Alan Auerbach,Agree,3
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",David Autor,Disagree,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Katherine Baicker,Uncertain,3
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Abhijit Banerjee,Uncertain,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Marianne Bertrand,Uncertain,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Markus Brunnermeier,Uncertain,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Raj Chetty,Disagree,7
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Judith Chevalier,Did Not Answer,
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",David Cutler,Uncertain,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Angus Deaton,Agree,7
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Darrell Duffie,Uncertain,3
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Aaron Edlin,Disagree,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Barry Eichengreen,Disagree,6
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Liran Einav,Agree,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Ray Fair,Disagree,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Amy Finkelstein,Did Not Answer,
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Pinelopi Goldberg,Uncertain,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Austan Goolsbee,Uncertain,1
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Michael Greenstone,Did Not Answer,
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Robert Hall,Agree,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Oliver Hart,Uncertain,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Bengt Holmström,Uncertain,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Caroline Hoxby,Did Not Answer,
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Hilary Hoynes,Disagree,8
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Kenneth Judd,Agree,7
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Steven Kaplan,Strongly Agree,8
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Anil Kashyap,Uncertain,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Pete Klenow,Agree,3
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Jonathan Levin,Uncertain,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Eric Maskin,Uncertain,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",William Nordhaus,Disagree,6
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Emmanuel Saez,Disagree,7
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Larry Samuelson,Agree,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",José Scheinkman,Agree,5
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Richard Schmalensee,Disagree,1
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Carl Shapiro,Did Not Answer,
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Robert Shimer,Agree,7
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Richard Thaler,Disagree,4
"Question A:                                If the federal minimum wage is raised gradually to $15-per-hour by 2020, the employment rate for low-wage US workers will be substantially lower than it would be under the status quo.","Tuesday, September 22nd, 2015 11:01 am",Christopher Udry,Uncertain,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Daron Acemoglu,Strongly Disagree,8
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Alberto Alesina,Disagree,5
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Joseph Altonji,Strongly Disagree,8
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Alan Auerbach,Strongly Disagree,7
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",David Autor,Disagree,6
Question B:                                Increasing the federal minimum wage gradually to $15-per-hour by 2020 would substantially increase aggregate output in the US economy.,"Tuesday, September 22nd, 2015 11:01 am",Katherine Baicker,Disagree,2
